ORDEN,SKU,MARKETING,ACTUALIZACIONES,ACTUALIZADO,VENTAS_ACUMULADAS,PRICE,LANZAMIENTO,CANTIDAD,PRECIO_MIN,SD_PRECIO,VENTA_ALTA
16267,878146,D,0,0,1899385,0.0,2008,37,93.78,104.87,1
70668,873147,S,2,1,1268175,137.95,2001,14,103.96,69.61,0
56349,597959,S,3,1,290041,40.95,2004,42,19.99,68.46,1
61899,54041,S,8,1,2469866,271.95,2004,58,40.33,13.49,0
54013,528452,S,3,1,223358,37.95,2011,24,104.69,33.91,0
28430,1463577,D,0,0,3078054,39.94,2008,14,53.47,7.49,0
23680,60615,D,4,1,2608284,44.45,2007,24,68.68,61.18,0
11054,1583116,D,0,0,1058529,61.45,2011,18,0.0,35.32,0
45451,130474,S,5,1,972742,126.0,2011,20,78.99,92.72,0
34403,630104,D,0,0,1166021,49.99,2009,51,31.59,11.99,0
64067,613992,S,2,1,31227,30.0,1992,99,17.48,128.98,0
18262,178707,D,5,1,946248,282.95,2011,52,33.98,48.95,0
62511,1783269,S,3,1,1682081,181.95,2013,20,0.0,84.37,0
58626,870178,S,2,1,1427832,45.0,2002,21,36.18,43.85,0
27242,629510,D,1,0,942437,73.95,2004,37,43.99,25.94,0
51893,251781,S,2,1,1173457,137.95,2008,15,84.71,169.48,0
61979,606805,S,4,1,726305,44.0,2000,54,5.6,20.52,0
5568,861344,D,3,1,21871,111.95,2013,61,67.38,63.99,0
5503,54200,D,8,1,1008031,184.95,2003,84,79.99,10.99,0
53238,52176,S,4,1,714776,137.33,2007,92,162.4,13.44,1
684,154075,D,7,1,2862261,62.5,2000,43,6.11,21.67,0
84999,555776,S,2,1,220529,29.95,2009,53,26.94,13.79,0
53873,610259,S,4,1,882247,85.0,2010,38,41.48,64.59,0
18783,313149,D,4,1,790015,108.2,2003,55,59.1,22.15,0
1566,2851320,D,1,0,8921254,199.95,2003,10,111.13,22.65,0
25202,615872,D,3,1,50948,89.95,2011,47,76.75,18.99,1
9051,111020,D,13,1,102119,115.95,2008,75,88.41,60.89,0
65228,770372,S,6,1,204141,145.95,2002,47,16.76,62.83,0
45784,562027,S,4,1,2223921,325.95,2007,13,180.71,163.31,0
15229,608633,D,2,1,2000595,117.95,2003,30,23.93,32.96,0
37575,109482,S,7,1,937477,28.99,2005,93,40.87,21.99,1
52578,2598015,S,0,0,1094184,154.99,1995,17,48.93,124.51,0
75514,566290,S,2,1,97094,182.0,2000,98,0.0,53.99,0
78761,631983,S,2,1,1020686,63.75,1997,41,13.98,40.18,0
17945,462003,D,1,0,1757768,117.95,2008,64,41.79,13.94,1
24663,147393,D,6,1,314699,36.95,2007,23,49.94,38.94,0
62573,58094,S,10,1,28210,178.33,2009,98,12.76,45.83,0
14401,609575,D,3,1,813231,42.95,2008,55,31.74,6.75,1
53023,1458949,S,3,1,390849,116.28,2007,46,74.95,71.27,1
31243,775871,D,0,0,1198844,38.95,2004,31,0.0,8.88,1
77709,132718,S,1,0,1469544,129.0,2010,48,80.99,18.79,1
83595,635674,S,3,1,880611,60.75,2012,14,0.0,48.97,0
62836,538797,S,3,1,343081,45.6,2011,39,23.48,75.0,0
59592,631545,S,3,1,795414,138.75,2010,48,65.84,98.87,0
35773,660996,D,7,1,639745,110.95,2012,25,0.0,0.0,0
33731,54589,D,7,1,1499134,152.0,2007,60,68.98,13.89,1
3705,2018329,D,0,0,2378392,99.95,2011,19,22.99,50.63,0
11323,51357,D,5,1,36575,302.95,2010,188,141.92,26.98,1
49182,54453,S,5,1,1222399,153.33,2007,92,16.98,13.99,0
65097,873739,S,2,1,807377,90.0,2013,13,0.0,55.94,0
63436,892909,S,5,1,204817,44.95,2015,14,31.29,29.08,0
61539,286345,S,0,0,62719,19.95,2009,37,83.74,11.0,1
51154,607600,S,4,1,102527,66.95,2009,34,35.99,67.17,1
10800,763496,D,1,0,9747660,87.95,1997,13,39.47,63.72,0
71211,1661660,S,3,1,7210,11.95,2013,50,0.0,9.1,0
2200,874730,D,2,1,2842247,6.91,2011,43,23.94,8.81,0
5850,130464,D,7,1,57548,171.6,2012,71,111.72,94.98,0
52166,2575558,S,4,1,824712,21.79,1986,22,43.03,66.69,0
11666,270997,D,6,1,391692,42.99,2010,53,33.98,11.16,0
30615,117954,D,5,1,540250,50.4,2005,35,79.98,29.04,0
7301,290977,D,2,1,59306,122.95,2011,42,96.93,67.39,0
43213,553169,S,9,1,2016500,151.53,2011,12,117.34,133.98,0
51235,183571,S,4,1,338983,194.95,2007,45,153.92,79.75,0
44762,897371,S,4,1,1015750,44.67,2014,19,47.19,36.42,0
80652,612314,S,11,1,65311,59.06,2013,67,0.0,63.99,0
71264,169644,S,10,1,734129,134.21,2006,38,8.46,138.81,0
3324,706209,D,5,1,2802432,201.5,2011,18,153.23,51.13,0
61088,200956,S,12,1,1242164,34.99,2006,71,20.64,22.96,0
